Contract Count,ID,LGA,Population,SEIFA,TargetedGroup,Service,Agency,Indigenous,Year
27,SaS~13161368029~2650,Wagga Wagga,62799,71,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
27,33031-01,Armidale Dumaresq,25327,67,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Glen Innes Severn,8966,13,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Gunnedah,12826,28,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Guyra,4619,18,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Gwydir,5080,25,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Inverell,16846,12,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Liverpool Plains,7819,13,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Moree Plains,14092,15,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Narrabri,13764,36,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Tamworth,60495,45,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Tenterfield,6980,10,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Uralla,6408,62,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
27,33031-01,Walcha,3098,55,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
25,SaS~13161368029~2485,Tweed,91210,45,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
21,SaS~12010992766~2047,Canada Bay,87480,90,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
20,SaS~12105690239~2040,Leichhardt,58136,93,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
20,SaS~13006824004~2022,Waverley,71769,92,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
20,SaS~13006824004~2640,Albury,51082,57,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
20,SaS~13006824004~2800,Cabonne,13776,73,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
20,SaS~13161368029~2452,Coffs Harbour,72382,46,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
20,SaS~13161368029~2830,Dubbo,41573,54,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
19,SaS~12105690239~2063,Willoughby,74166,94,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
19,SaS~13006824004~2478,Ballina,41644,65,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
19,32354-01,Bellingen,13032,36,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
19,32354-01,Coffs Harbour,72382,46,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
19,32354-01,Gloucester,5064,31,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
19,32354-01,Great Lakes,36499,17,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
19,32354-01,Greater Taree,48941,8,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
19,32354-01,Kempsey,29643,3,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
19,32354-01,Nambucca,19655,6,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
19,32354-01,Port Macquarie-Hastings,77481,49,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
18,SaS~12105690239~2060,North Sydney,71025,97,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
18,SaS~13161368029~2431,Kempsey,29643,3,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
18,SaS~25001868542~2470,Kyogle,9531,8,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
18,SaS~50076560391~2536,Eurobodalla,37643,35,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
18,17613-05,Cessnock,54979,19,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Dungog,9108,63,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Lake Macquarie,202676,69,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Maitland,75170,70,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Muswellbrook,17045,51,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Newcastle,160021,72,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Port Stephens,69728,58,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Singleton,23884,76,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
18,17613-05,Upper Hunter,14658,56,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,SaS~13161368029~2575,Wingecarribee,47584,78,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
16,31679-01,Auburn,85446,41,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,31679-01,Blacktown,332424,61,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,31679-01,Holroyd,111100,60,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,31679-01,Parramatta,189932,73,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,31679-01,The Hills,187703,97,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Bellingen,13032,36,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Coffs Harbour,72382,46,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Gloucester,5064,31,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Great Lakes,36499,17,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Greater Taree,48941,8,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Kempsey,29643,3,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Nambucca,19655,6,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32234-01,Port Macquarie-Hastings,77481,49,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
16,32603-01,Blue Mountains,79688,82,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
16,32603-01,Hawkesbury,65527,77,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
16,32603-01,Lithgow,21249,15,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
16,32603-01,Penrith,194134,71,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
14,SaS~16104341148~2580,Goulburn Mulwaree,29376,40,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
14,SaS~16104341148~2620,Cooma-Monaro,10216,62,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
14,SaS~25142107444~2480,Lismore,44629,43,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
13,SaS~13161368029~2020,Botany Bay,44742,69,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
13,SaS~13161368029~2350,Armidale Dumaresq,25327,67,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
13,SaS~16104341148~2795,Bathurst,41682,68,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
13,SaS~20106311086~2870,Parkes,15217,24,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
13,32057-01,Cessnock,54979,19,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Dungog,9108,63,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Lake Macquarie,202676,69,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Maitland,75170,70,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Muswellbrook,17045,51,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Newcastle,160021,72,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Port Stephens,69728,58,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Singleton,23884,76,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32057-01,Upper Hunter,14658,56,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
13,32259-01,Gosford,171992,75,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
13,32259-01,Wyong,159015,37,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
12,32445-01,Gosford,171992,75,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
12,32445-01,Wyong,159015,37,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
12,32645-01,Bellingen,13032,36,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
12,32645-01,Coffs Harbour,72382,46,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
12,32645-01,Gloucester,5064,31,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
12,32645-01,Great Lakes,36499,17,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
12,32645-01,Greater Taree,48941,8,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
12,32645-01,Kempsey,29643,3,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
12,32645-01,Nambucca,19655,6,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
12,32645-01,Port Macquarie-Hastings,77481,49,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
11,SaS~13161368029~2453,Bellingen,13032,36,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
11,SaS~13161368029~2533,Kiama,21314,84,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
11,32263-01,Hornsby,168614,93,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Hunters Hill,14689,95,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Ku-Ring-Gai,120978,100,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Lane Cove,34807,99,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Manly,44786,96,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Mosman,30276,99,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,North Sydney,71025,97,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Pittwater,63338,95,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Ryde,114598,89,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Warringah,155289,91,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
11,32263-01,Willoughby,74166,94,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
10,SaS~12010992766~2360,Inverell,16846,12,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
10,SaS~12105690239~2065,Lane Cove,34807,99,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
10,SaS~13161368029~2400,Moree Plains,14092,15,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
10,SaS~50076560391~2548,Bega Valley,33468,47,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
10,32183-01,Hornsby,168614,93,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Hunters Hill,14689,95,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Ku-Ring-Gai,120978,100,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Lane Cove,34807,99,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Manly,44786,96,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Mosman,30276,99,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,North Sydney,71025,97,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Pittwater,63338,95,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Ryde,114598,89,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Warringah,155289,91,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32183-01,Willoughby,74166,94,360 Daily living assistance (multiple needs),A07.1 Service support and development,FACS,Non Indigenous,"""2015"""
10,32364-01,Auburn,85446,41,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
10,32364-01,Blacktown,332424,61,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
10,32364-01,Holroyd,111100,60,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
10,32364-01,Parramatta,189932,73,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
10,32364-01,The Hills,187703,97,360 Daily living assistance (multiple needs),A01.3 Community living support,FACS,Non Indigenous,"""2015"""
10,32386-01,Auburn,85446,41,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,32386-01,Blacktown,332424,61,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,32386-01,Holroyd,111100,60,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,32386-01,Parramatta,189932,73,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,32386-01,The Hills,187703,97,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Armidale Dumaresq,25327,67,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Glen Innes Severn,8966,13,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Gunnedah,12826,28,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Guyra,4619,18,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Gwydir,5080,25,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Inverell,16846,12,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Liverpool Plains,7819,13,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Moree Plains,14092,15,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Narrabri,13764,36,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Tamworth,60495,45,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Tenterfield,6980,10,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Uralla,6408,62,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33162-01,Walcha,3098,55,214 Families (aged or disability care),A02.6 Carer support,FACS,Non Indigenous,"""2015"""
10,33228-01,Blue Mountains,79688,82,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
10,33228-01,Hawkesbury,65527,77,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
10,33228-01,Lithgow,21249,15,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
10,33228-01,Penrith,194134,71,214 Families (aged or disability care),A02.6 Carer support,FACS,Indigenous,"""2015"""
9,SaS~13161368029~2027,Woollahra,58619,98,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
9,SaS~13161368029~2343,Liverpool Plains,7819,13,110 All (general population),A03.1 Prevocational/vocational training,Education,Non Indigenous,"""2015"""
9,1-2912951034,Sydney City,198331,85,"215 Families (adoption, foster care, respite)",A02.4 Out of home care,FACS,Non Indigenous,"""2015"""
9,32240-01,Albury,51082,57,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
9,32240-01,Berrigan,8413,32,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
9,32240-01,Bland,5994,51,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
9,32240-01,Carrathool,2795,50,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
9,32240-01,Conargo,1535,82,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
9,32240-01,Coolamon,4308,52,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
9,32240-01,Cootamundra,7749,21,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
9,32240-01,Corowa,11455,38,360 Daily living assistance (multiple needs),A01.4 Daily living support,FACS,Non Indigenous,"""2015"""
